Code,Fault,Count,Downtime (hrs),Lost Energy (MWh),Number of Turbines Impacted
900,Pause pressed on keyboard,59,150.92805555555557,237.12900193941235,22
5179,Fire cylinder gas level low ,2,260.4088888888889,69.09904688596492,1
3719,"TowAcc Y,Extreme: m/s^",34,4.414166666666667,18.45193963714706,15
110,Boat action curtailment,222,264.8333333333333,17.955965158209594,22
309,Pause over RCS ,191,23.25444444444444,15.965522234861254,11
5101,HiTempChokeWind:Mod; °C ,14,3.5236111111111112,14.1641601220379,1
296,"Tow. acc. X,Alarm: m/s^",14,5.144444444444444,14.107657194104618,1
4518,HubSafty HydrPres Low BldC,3,2.266111111111111,6.333868333333334,3
3234,PitchAccumulatorTestAccFailed,2,1.4491666666666667,3.5615562323565433,1
356,Extreme yawerror m/s°,16,0.5225000000000001,2.6488141379892034,12
3273,"YawUntwistCCW: Code,°",89,32.250277777777775,2.415740042712992,22
4517,HubSafty HydrPres Low BldB,3,0.5402777777777777,1.7875495268831507,3
6284,EMC valves test active,22,0.48944444444444446,1.3679017233619128,11
3798,"HubSafetySystem EncoderC,EC:",9,0.2688888888888889,0.9815999999999998,1
4245,ExtConverterStopArcDetected ,1,0.15666666666666668,0.52215,1
297,"Tow. acc. Y,Alarm: m/s^",2,0.043611111111111114,0.3069062705916058,1
6290,Pitch accu. test active,15,0.1638888888888889,0.2585710577378727,8
3129,DODP Valve Failure,2,0.13527777777777777,0.23356581805838422,1
176,Error on all wind sensors,3,0.32666666666666666,0.08396805555555556,1
3272,"YawUntwistCW: Code,-°",6,1.81,0.02475,1
3562,Overspeed Guard Error,1,0.1597222222222222,0.009555833333333333,1
3121,"PitchValBErr,VelocityBmm/s",1,0.0022222222222222222,0.006176425173344313,1
3009,HydrOilTempHigh°C,1,0.7611111111111111,0.0024889376218323587,1
343,Encoder signal error :,1,0.0325,0.0006333279202741856,1
2981,MainBearLubrReservoirLevelLow,5,2792.3608333333336,0.0,4
