Code,Fault,Count,Downtime (hrs),Lost Energy (MWh),Number of Turbines Impacted
309,Pause over RCS ,13880,17025.659722222266,11375.979259565382,22
900,Pause pressed on keyboard,408,2407.103333333334,3006.7392973624355,22
4245,ExtConverterStopArcDetected ,3,409.1791666666667,563.127166139705,1
6290,Pitch accu. test active,157,254.69416666666658,213.78889456704164,21
165,"Low oil-level,hydraulic",11,77.65805555555556,198.73809808284113,4
5931,Cabinet conv. DC voltage fail,18,97.42638888888888,164.5224937914231,14
3633,Yaw System Stopped,15,103.9675,159.26196622846115,7
2926,Gear Oil Contaminated Drain A,4,11330.955555555556,120.31538333333324,3
6284,EMC valves test active,170,80.71027777777785,105.89056813241378,22
176,Error on all wind sensors,12,77.28194444444445,104.9228619652338,4
5101,HiTempChokeWind:Mod; °C ,31,49.308333333333316,102.54626850300879,2
1,Turbine Operation State: Stop,3,65.5,99.47576763742693,1
5179,Fire cylinder gas level low ,2,260.4088888888889,69.09904688596492,1
5180,Fire cylinder gas level low ,31,220906.14611111113,60.833355250359084,2
110,Boat action curtailment,369,393.66666666666674,39.583684572584346,22
3807,HubSafetySystem Batt.Level Err,2,70.44472222222223,39.36138333333334,1
604,Remote Reboot,1,23.192222222222224,38.366066943619856,1
5428,Switchgear SC/OC/EF fault ,2,12.747222222222222,37.301263951310865,1
149,High temperature T: °C L,4,20.055555555555557,35.55521666666667,1
3719,"TowAcc Y,Extreme: m/s^",54,8.554722222222226,31.655593965187972,19
202,Frequency error :  Hz,2,32.446111111111115,30.767238475877196,2
296,"Tow. acc. X,Alarm: m/s^",94,10.972222222222223,28.22947277413032,18
3003,HydrMainPressLow:bar°C,2,15.735555555555555,23.667215889303478,1
3273,"YawUntwistCCW: Code,°",518,171.92666666666668,21.66887361309727,22
2699,Yaw Ciruitbreaker Fb Err,2,52.53583333333333,19.878186079926124,2
5548,HoldToRun HwError ,6,26.333333333333336,13.11868057606742,1
5479,Ext.ConverterStopSignalActive ,1,9.409722222222221,12.207500000000003,1
2934,GearOilInletPressLow  bar,1,6.248333333333333,11.637042498430633,1
5088,WaterLevelTooLowAlarm Error ,1,10.256944444444445,11.151303333333335,1
190,"Pitch A ref:°,Act.:°",1,2.4972222222222222,8.213,1
5567,SafetySystemCriticalCommError ,20,14.40111111111111,7.93118039083983,4
356,Extreme yawerror m/s°,88,3.1891666666666674,7.880515761080159,20
4517,HubSafty HydrPres Low BldB,5,3.0066666666666673,7.686727938189195,4
4599,LineSideBreakerWindUpFailed ,12,12.926666666666668,7.386688308309526,3
3272,"YawUntwistCW: Code,-°",110,35.64194444444445,6.683208609022554,22
5552,SafetyNac SwVers Error ,4,7.463055555555555,6.659187464576473,4
6082,SafetySystemConvProtectionStop,4,4.630000000000001,6.3353718071322085,3
4518,HubSafty HydrPres Low BldC,3,2.266111111111111,6.333868333333334,3
5377,Brake hydraulic leakage high ,2,9.415555555555557,5.861179647977471,1
3234,PitchAccumulatorTestAccFailed,4,2.2263888888888888,4.923530959303194,2
343,Encoder signal error :,13,5.4061111111111115,3.725089406691031,8
3129,DODP Valve Failure,5,12.420277777777779,2.2172036759315947,1
4914,"MainShaftSigError.,-",2,0.4077777777777778,1.3441166666666668,2
3798,"HubSafetySystem EncoderC,EC:",11,0.32083333333333336,1.226033333333333,1
2863,ConvWaterCoolPressLowbar,1,0.6825,0.6111546996124031,1
5244,Trafo Temp Sensor Fault,2,0.09250000000000001,0.48249999999999993,2
6285,Blade loads calib. Active ,9,0.756388888888889,0.4674881788351107,2
3323,OverspeedGuardConfErr:Setting,1,0.30527777777777776,0.4584166666666667,1
297,"Tow. acc. Y,Alarm: m/s^",2,0.043611111111111114,0.3069062705916058,1
5122,LowCurrGridFiltCheck:ModL ,1,0.03305555555555556,0.2552131775700935,1
2908,Pitch A BL unlock alarm N= ,1,0.3825,0.23902477213541667,1
5173,Ext.ConverterRundownActive ,2,22.73027777777778,0.15182635767790262,2
5989,GearboxBearingTempSensorFail,51,8.311666666666666,0.10006166666666667,14
3848,PitAPFBsensorunavailable,3,8782.388888888889,0.08564999999999999,3
3562,Overspeed Guard Error,6,1.205277777777778,0.009555833333333333,4
5366,ConvClimateNotOk -°C % ,1,0.006388888888888889,0.009283333333333334,1
3121,"PitchValBErr,VelocityBmm/s",1,0.0022222222222222222,0.006176425173344313,1
3009,HydrOilTempHigh°C,1,0.7611111111111111,0.0024889376218323587,1
2981,MainBearLubrReservoirLevelLow,21,25823.76111111111,0.0,19
315,ExEx low voltage L: V,19,4.831666666666667,0.0,19
4446,Blade Locking Timeout Error ,3,11767.066111111113,0.0,3
5550,AbnormalCableTwist HwError ,1,0.08777777777777777,0.0,1
3850,PitCPFBsensorunavailable,2,8782.14361111111,0.0,2
101,Grid curtailment,118,547.7066666666664,0.0,19
3805,HubSafetySystem DC Supply Err.,1,1.9305555555555556,0.0,1
5099,ConvCoolWaterHighTemp: °C ,2,0.4930555555555556,0.0,2
3849,PitBPFBsensorunavailable,2,8782.14361111111,0.0,2
332,Ext. low DC voltage V,1,0.31277777777777777,0.0,1
