turbine,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline,offline
,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental - Bird/Bat,Environmental - Icing,Excluded,Manufacturer - Blade Repair,Manufacturer - Blade Repair,Manufacturer - Fault,Manufacturer - Fault,Manufacturer - Gearbox,Manufacturer - Generator,Manufacturer - Other,Manufacturer - Planned Maintenance,Manufacturer - Planned Maintenance,Manufacturer - Planned Maintenance,Not Categorized,Not Categorized,Not Categorized,Not Categorized,Owner,Owner - Repair,Owner - Repair,Owner - Repair,Utility/BOP,Utility/BOP,Utility/BOP
,project,project,project,project,project,project,project,project,contract,exclude,contract,contract,contract,contract,contract,contract,contract,contract,contract,project,project,project,project,project,project,project,project,project,project,project,project
,turbine,turbine,turbine,turbine,turbine,turbine,turbine,project,turbine,exclude,turbine,turbine,turbine,turbine,turbine,turbine,turbine,exclude,exclude,exclude,turbine,turbine,turbine,turbine,turbine,project,project,turbine,project,project,project
,Environmental - ENV - High Temp,Environmental - ENV - High Wind Speed ,Environmental - ENV - Lightning,Environmental - ENV - Low Temp,Environmental - ENV - Low Wind ,Environmental - ENV - Other,Environmental - ENV - Out of Specification,Environmental - ENV - Bird/Bat,Environmental - ENV - Icing,Utility - CRT - Curtailment Pause Over RCS,Manufacturer - FTH - Repair - Blade,Manufacturer - FTH - Repair - Blade (Reimbursable),Manufacturer - FTH - Fault,Manufacturer - FTH - Repair/Troubleshooting/Inspection,Manufacturer - FTH - Repair - Gearbox,Manufacturer - FTH - Repair - Generator,Manufacturer - TCH - Technical Standby Normal Test ,Manufacturer - PTH - PM - Scheduled,Manufacturer - PTH - Planned Corrective Action,Manufacturer - PTH - PM (Contract Exempt),Communication Offline,Manufacturer - PTH - Repair - Blade,Not Categorized,Owner - PTH - Planned Maintenance,Owner - FTH - Other,Owner - FTH - Repair - BOP,Owner - PTH - Planned Corrective Action (BOP),Owner - FTH - Repair - Blade,Utility - CRT - Curtailment Offtaker,Utility - CRT - Curtailment Other,Utility - FTH - BOP out of Specification
WW-3,0.0,0.0,0.0,0.0,0.0,0.0,0.024812828947368422,0.0,0.0,4.864513589897947,0.0,0.0,0.6383698721048734,0.0,0.0,0.0,0.0,14.782203703703704,0.0,0.0,0.0,0.0,2.135354003945547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW-4,0.0,0.0,0.0,0.0,0.0,0.0,0.4461331993177387,0.0,0.0,3.0508358121201695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26635,0.0,0.0,0.0,0.0,0.8766572093837535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW-5,0.0,0.0,0.0,0.0,0.0,0.0,0.2322523624011008,0.0,0.0,0.778433779956427,0.0,0.0,0.0024889376218323587,0.0,0.0,0.0,0.0,27.394958284600392,0.0,0.0,0.0,0.0,1.0315537173202616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW-6,0.0,0.0,0.0,0.0,0.0,0.0,0.049600000000000005,0.0,0.0,0.8573322549019606,0.0,0.0,0.08396805555555555,0.0,0.0,0.0,0.0,1.864641617933723,0.0,0.0,0.0,0.0,1.5784445056472882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW-7,0.0,0.0,0.0,0.0,0.0,0.0,0.2324166666666666,0.0,0.0,0.4523104861111111,0.0,0.0,1.1623730043429472,0.0,0.0,0.0,0.0,18.9530227582846,0.0,0.0,0.0,0.0,0.8531874123237192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WW-8,0.0,0.0,0.0,0.0,0.0,0.0,0.008216666666666667,0.0,0.0,0.13984694444444445,0.0,0.0,1.2298999999999998,0.0,0.0,0.0,0.0,29.039486476233318,0.0,0.0,0.0,0.0,0.596136282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
