Turbine,Energy Export (MWh),Capacity Factor,Wind Speed (m/s),Contract Lost Energy (MWh),Turbine Lost Energy (MWh),Project Lost Energy (MWh),Performance Index
WW-3,1040.019,0.4235984848484849,7.451628115876937,15.420573575808577,2.798536704997789,17.58074040870149,0.9828506554212688
WW-4,1086.746,0.44263033561420667,7.8317018410417605,1.26635,1.3227904087014921,2.589140408701492,0.9907240399898978
WW-5,1055.195,0.429779651352232,7.5419855920756405,27.397447222222226,1.2662950173431948,28.66125330194359,0.9828541029204908
WW-6,1073.404,0.4371961550993809,7.96234318996416,1.9486096734892786,1.7120125612028438,3.576654179136567,0.9522172962529115
WW-7,1088.642,0.44340257412838063,7.784183329588858,20.115395762627546,2.2479770833333332,21.200999841617932,0.9733027758187478
WW-8,1181.301,0.48114247311827957,8.249438706780419,30.26938647623332,1.8342529487179484,30.873739424951268,0.9794374360192892
WW-9,1124.325,0.4579362170087977,7.949528301886791,33.85905974658869,1.1133917687160335,34.96220151530473,0.9785353739147293
WW-10,1065.674,0.4340477354187032,7.822985409652075,28.33071179546591,27.908716198301182,33.555082864967844,0.9696145493760746
WW-11,1140.884,0.4646806777451939,7.84883512544803,3.272152777777777,2.165413420523405,5.263232864967849,0.9715523993910754
WW-12,1156.208,0.4709221244705116,7.802598566308243,3.945316666666666,1.3810181544547642,4.94803482112143,0.9757093887664494
WW-13,1024.787,0.4173945096122516,7.480062724014338,1.0462688106899463,1.5882999999999998,2.41425,0.9786415079244506
WW-14,1089.485,0.44374592701205606,7.423023360287512,22.223085828460036,3.312812113390565,25.5358979418506,1.031153516653082
WW-15,1113.237,0.45342008797653965,7.801550213435181,8.734838333333336,1.361820258457859,10.096658591791195,0.9749164927817181
WW-16,1120.916,0.4565477354187032,7.778678948550885,15.411764999999999,9.179128696296296,23.593925362962963,0.9845324005797146
WW-17,1334.034,0.543350439882698,8.796811138558274,25.463916666666663,15.264041348374432,26.19996121701154,0.9800247457020603
WW-18,1348.888,0.5494004561746497,8.93266726537943,20.113758333333333,0.4020933333333333,20.515851666666666,0.9724163111014351
WW-19,1243.662,0.5065420332355817,8.334336402425334,14.235341628118686,1.0356833333333333,14.748867543859648,0.9711841199699512
WW-20,1108.965,0.4516801075268817,7.6634856630824375,1.58325,4.646412227204984,5.473578893871651,0.9739961194031143
WW-22,1049.749,0.4275615021179538,7.426769713261648,0.8229999999999997,70.76630428523232,71.58930428523232,1.1136446487211913
WW-23,1115.34,0.4542766373411535,7.756294802867383,0.8455,0.8393353276353275,1.6848353276353274,0.9718013135336233
WW-24,1178.872,0.4801531443466928,8.150134408602153,3.7144716666666664,1.2197579638009048,4.603329630467571,0.9552005678524818
WW-25,1299.139,0.5291377484522646,8.517540322580645,0.8371108333333331,1.257707963800905,2.0852629638009046,0.9708387521769815
